682.225551,386.448818,111.956332,103.937733,103.485984,103.485984,103.479260,103.403907,103.403907,103.402186,103.398313,103.394652,103.394652,103.394652,103.394652,103.394652,103.394652, ,151555
572.299920,450.907030,106.237738,105.130623,104.929029,104.875778,104.875778,104.778136,104.707480,104.438723,104.358005,104.301445,104.299257,104.299256,104.299256,104.299255,104.299255, ,9015
534.635642,496.148471,115.652918,105.001051,104.455218,104.375323,103.982395,103.982395,103.972885,103.687976,103.683172,103.573487,103.566846,103.566846,103.454351,103.451636,103.448417, ,4105
764.682509,428.265198,114.118330,104.573693,104.048204,103.994292,103.980253,103.965209,103.962471,103.773925,103.702780,103.702779,103.702778,103.702777,103.702776,103.702775,103.702773, ,17169
895.972642,561.990641,123.527647,105.152868,104.332264,104.332264,104.258776,104.118096,103.852608,103.749732,103.731727,103.731727,103.731727,103.731727,103.731727,103.731727,103.731727, ,105718
877.230700,500.708720,108.730564,104.776427,104.776427,104.610145,104.574506,104.475410,104.412122,104.401674,104.401569,104.401569,104.401568,104.401568,104.401568,104.401568,104.401568, ,11074
531.761509,375.351182,107.436002,104.250467,104.250467,104.089870,104.006643,103.897439,103.555428,103.510250,103.510250,103.501366,103.453383,103.453383,103.447647,103.447634,103.447632, ,8635
654.701920,446.273040,113.016575,104.595861,104.385100,104.159663,104.115560,104.034346,104.021544,104.015701,103.785723,103.559662,103.507151,103.392543,103.385470,103.385470,103.372099, ,4668
740.974989,428.738409,117.452876,106.173296,105.471217,105.449887,105.302476,105.228810,104.664986,104.251322,104.052377,103.674135,103.455686,103.351259,103.328707,103.326322,103.326322, ,9728
908.353374,294.623534,106.860810,104.713146,104.420313,104.294592,104.230549,104.062877,103.852266,103.730877,103.722415,103.647127,103.550857,103.536474,103.528175,103.528175,103.528174, ,19034
717.177338,313.600216,106.474889,104.596358,104.245371,104.222614,104.222614,104.188296,104.008304,103.880065,103.880065,103.880065,103.878433,103.878433,103.748923,103.738439,103.738439, ,3123
764.314242,555.354307,116.066258,104.469289,104.238705,104.125751,103.853471,103.753928,103.571762,103.528806,103.521935,103.500881,103.500881,103.500881,103.487612,103.326235,103.325950, ,3387
